Company Name,Employer Website,Employer Phone,Employer Logo,Company Description,Location,City,State,Country,Zip Code,,,,
Educational Directions,www.edudx.com,7274092330,https://bluegreensheet.mysmartjobboard.com/download/294/a772c6e3061557283c6f43aa19ea5a41,<p>National trusted executive search firm for independent and faith-based schools since 1986.</p>,"St. Petersburg, FL, USA",St. Petersburg,Florida,United States,,,,,
Asheville Christian Academy,w,7138290374,https://bluegreensheet.mysmartjobboard.com/download/292/ff1f6f1c57e24f1337b4123cbb0ff37d,"<div data-block-type=""2"" data-sqsp-block=""text"">
<div>
<div data-sqsp-text-block-content="""">
<p>About Us:&nbsp; For more than 60 years, Asheville Christian Academy has provided a Gospel-centered education to students in the greater Asheville area. Students will experience top-quality instruction and heart-changing discipleship in an environment focused on bringing God honor through our excellence.&nbsp;</p>
</div>
</div>
</div>
<div data-block-css=""[&quot;https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/4349438c-a081-46b6-a836-0a27dc9737da_155/website.components.spacer.styles.css&quot;]"" data-block-scripts=""[&quot;https://definitions.sqspcdn.com/website-component-definition/static-assets/website.components.spacer/4349438c-a081-46b6-a836-0a27dc9737da_155/website.components.spacer.visitor.js&quot;]"" data-block-type=""1337"" data-definition-name=""website.components.spacer""></div>
<div data-block-type=""2"" data-sqsp-block=""text"">
<div>
<div data-sqsp-text-block-content="""">
<p>Mission:&nbsp; Seeking to serve Jesus Christ and uphold His Pre-eminence, Asheville Christian Academy, in committed partnership with Christian parents, provides a Gospel-centered education to shepherd and inspire Christ-oriented lives within a community of grace and truth.</p>
</div>
</div>
</div>","74 Riverwood Road, Swannanoa, NC, USA",Swannanoa,North Carolina,United States,28778,,,,
The St. James Performance Academy,,5712715196,https://bluegreensheet.mysmartjobboard.com/download/291/5d37e4fc44145b3f22d97f0dd20e1448,"<p><span>Opened in August 2024, The St. James Performance Academy is an innovative college preparatory sports academy designed to provide unparalleled development opportunities for dedicated middle and high school student-athletes, as well as graduates interested in a post-grad year to prep for college. Inspired by the pursuit of excellence, the Academy utilizes best practices in guided learning, athletic coaching and development, and high performance to educate, inspire and develop the next generation of world class athletes and leaders.</span></p>","Springfield, VA, USA",Springfield,Virginia,United States,,,,,
IndySchool Consultancy,https://indyschoolconsultancy.com/,4403619880,https://bluegreensheet.mysmartjobboard.com/download/290/6e0fc1c6d8ea8dd114d277f3e3138929,<p>IndySchool Consultancy is a full-service leadership search and consulting firm for independent schools.</p>,,,,,,,,,
"NextEd, LLC",www.next-ed.com,3033193335,https://bluegreensheet.mysmartjobboard.com/download/289/a4970e92b15ad23a83c917d615672f67,"<p><b>NextEd Recruitment &amp; Search Services</b></p>
<p>NextEd empowers Christian schools to hire with confidence and purpose through our faith-centered recruitment solutions. With deep roots in Christian education and decades of school leadership experience, we provide both <span><b>Retained Executive Search</b></span> and <span><b>Contingency-Based Search</b></span> services under the unified banner of NextEd Talent. From Heads of School to key director-level roles, we help institutions identify and attract leaders who align spiritually, culturally, and operationally with their mission.</p>
<p>Our <span><b>Retained Executive Search</b></span> is a high-touch, strategic engagement designed for mission-critical hires. It includes customized opportunity profiling, active national sourcing, stakeholder engagement, multi-stage interviews, and candidate coaching&mdash;culminating in a final placement fully vetted for leadership excellence and spiritual maturity.</p>
<p>Our <span><b>Contingency-Based Search</b></span> offers schools a scalable, results-based alternative for director-level roles, such as Principals, Deans, Admissions, Advancement, Finance, or Operations. Schools pay only upon hire and benefit from the same trusted process: custom opportunity profiles, values-aligned vetting, curated candidate presentation, and personalized support&mdash;without upfront financial commitment.</p>
<p>What sets NextEd apart is our <span><b>faith-first, high-touch approach</b></span>. We don&rsquo;t just post jobs&mdash;we pursue people. We lead with prayer, prioritize spiritual alignment, and deliver leaders who fit not only the role but the community they&rsquo;re called to serve.</p>
<p>With a growing national footprint and unmatched commitment to Christian school success, NextEd is redefining how education leaders are found, hired, and supported.</p>
<p>Empowering Schools to Achieve Their Next.</p>
<p>Learn more at <a href=""https://www.next-ed.com"">www.next-ed.com</a></p>",United States,,,United States,,,,,
Butler/White Strategies,,6095772473,,,"Princeton, NJ, USA",Princeton,New Jersey,United States,,,,,
Educators Collaborative,https://www.educatorscollaborative.com,518-310-86011,https://bluegreensheet.mysmartjobboard.com/download/288/1e127e6139666c414adad55f05ecbe5d,"<p>Educators Collaborative is a full-service consulting firm dedicated to supporting independent schools with search, transition, and strategic planning needs. With over two decades of combined experience, our deeply committed team of former school leaders offers personalized and collaborative guidance in leadership searches, onboarding processes, and long-term planning. Our hallmark is genuine devotion to each client&mdash;every consultant is a full partner who brings a wealth of seasoned insight, empathy, and broad networks that span nationally and internationally.</p>","Bridport, VT, USA",Bridport,Vermont,United States,,,,,
Educators Collaborative,educatorscollaborative.com,,https://bluegreensheet.mysmartjobboard.com/download/287/cff5436984ccb83e106a4f98b24984d3,"<p><span>Educators Collaborative takes a relational approach to our work with schools, consistent with our mission, </span><span><em>Positioning schools for success through effective leadership</em>.</span><span> </span><span>Since our founding in 1971, EC has conducted more than a thousand Head of School searches and a similar number of senior administrative searches. Many of our searches have been for schools in the Midwest. Our partners live and have worked across the country and around the world, and we draw upon this geographic diversity to network with a wide range of regional associations and candidates. We have strong personal relationships with local, regional, national, and international associations that will be helpful in the search. Our partners have served on the Boards of NAIS and many regional associations, including ISACS. All partners contribute to every search, whether by building the pool of candidates or providing vital background information on candidates and schools.</span></p>",,,,,,,,,
Educational Directions,www.edudx.com,781-664-3133,https://bluegreensheet.mysmartjobboard.com/download/284/4b2d710793831f80ea67bbc35056fa13,"<p>Educational Directions guides independent and Catholic schools through successful leadership transitions. We find exceptional, mission-aligned leaders for schools, and enrich the search process with meaningful community reflections, strengthening of governance, refining strategic vision, and mindful transition work.</p>","Charlottesville, VA, USA",Charlottesville,Virginia,United States,,,,,
Vanguard College Preparatory School,www.vanguard.org,2547728111,,"<p>Vanguard College Preparatory School is a leading independent school in Waco, Texas, committed to academic excellence, character development, and community involvement. Our mission is to prepare students for academic success and fulfilling lives. We are experiencing a unique growth paradigm and seek a dedicated Facilities Team Lead to ensure that we are the best possible stewards of our campus. Vanguard College Preparatory School is an equal opportunity employer.</p>","2517 Mt Carmel Dr, Waco, TX, USA",Waco,Texas,United States,76710,,,,
Pine Cobble School,www.pinecobble.org,4134584680,,"<p><span>Pine Cobble is an all gender preschool through grade eight day school in Williamstown, MA. Our mission is to cultivate in each student a lifelong passion for learning, a strong sense of self-worth, and respect for others throughout the community. These goals are achieved through robust programming featuring a variety of academic and elective offerings, frequent outdoor engagement, cross grade-level activities and events, frequent community-wide gatherings, and off-campus experiences.</span></p>","163 Gale Road, Williamstown, MA, USA",Williamstown,Massachusetts,United States,1267,,,,
